chapter,token_count,tokens_per_second,total_time,spacy_time,emotion_time,location_time,loc_confidence,loc_score,char_score,dominant_emotion,dominant_sentiment
1,6570,83.65808027987383,78.5339560508728,1.1532585620880127,23.99820065498352,53.37649655342102,0.15369181334972382,0.9852000000000001,0.9999,sadness,negative
2,4720,85.03631251115807,55.50569939613342,0.8301851749420166,24.06621789932251,30.60229468345642,0.2024143636226654,0.9692714285714286,0.9999,sadness,negative
3,5189,89.11233741064939,58.22987198829651,1.086244821548462,23.4910831451416,33.647541522979736,0.15369181334972382,0.9852000000000001,0.9999,sadness,negative
4,5308,90.44101619551698,58.69018530845642,1.1822657585144043,22.120779752731323,35.37814283370972,0.4973960816860199,0.763,0.9999,sadness,negative
5,9748,90.06178572058637,108.23680567741394,2.2985148429870605,21.839717149734497,84.08857583999634,0.10899363458156586,0.9852000000000001,0.9999,sadness,negative
6,9059,73.65696867809912,122.98904180526733,2.6202328205108643,18.347434520721436,102.01237845420837,0.4973960816860199,0.9852000000000001,0.9999,sadness,negative
7,6389,77.04109993959509,82.92976093292236,1.8404135704040527,18.722066640853882,62.3607451915741,0.1523546725511551,0.9802444444444445,0.9999,joy,positive
8,4287,89.48166779431634,47.90925455093384,1.4643285274505615,14.246501684188843,32.19342112541199,0.4973960816860199,0.9718200000000001,0.9999,sadness,negative
9,7328,90.66550585027186,80.82456421852112,1.960012674331665,14.592259645462036,64.26429772377014,0.23502212762832642,0.9802444444444445,0.9999,sadness,negative
10,6010,106.55422741551224,56.40320563316345,1.5156095027923584,12.39508605003357,42.487510204315186,0.23502212762832642,0.97851,0.9999,sadness,negative
11,4919,84.08776036491768,58.498406648635864,1.3592586517333984,11.102840662002563,46.03030586242676,0.23502212762832642,0.9852000000000001,0.9999,joy,positive
12,7956,87.33165883295617,91.10098338127136,2.276693105697632,12.465156555175781,76.35107803344727,0.2243667095899582,0.9852000000000001,0.9999,sadness,negative
13,4766,74.379429167483,64.0768563747406,1.2652826309204102,15.321950912475586,47.48262166976929,0.2243667095899582,0.9740500000000001,0.9999,sadness,negative
14,5071,101.23696312732156,50.09040021896362,1.4443237781524658,13.373124122619629,35.26894998550415,0.4490431845188141,0.98145,0.9799674418604651,sadness,negative
15,7618,138.98219739759443,54.81277561187744,2.1964921951293945,13.963258028030396,38.64703392982483,0.2024143636226654,0.763,0.9999,sadness,negative
16,9719,150.9056334532747,64.40448760986328,2.852649688720703,14.276211500167847,47.268635749816895,0.4973960816860199,0.7444166666666667,0.9999,sadness,negative
17,8269,269.9081369435608,30.63634943962097,2.314596176147461,9.058524370193481,19.25622820854187,0.27257636189460754,0.9727777777777779,0.9999,joy,negative
