chapter,token_count,tokens_per_second,total_time,spacy_time,emotion_time,location_time,loc_confidence,loc_score,char_score,dominant_emotion,dominant_sentiment
1,8763,115.510799316482,75.86303663253784,2.002450942993164,31.935657501220703,41.90742039680481,0.30670830607414246,0.9851666666666666,0.9999,sadness,negative
2,5978,80.4619693439906,74.295969247818,1.2972912788391113,31.877029180526733,41.10764837265015,0.32787010073661804,0.9777333333333332,0.8230380952380953,sadness,negative
3,6263,70.15640650165334,89.2719612121582,1.4283232688903809,33.357871532440186,54.476765632629395,0.3156205713748932,0.9852000000000001,0.957045,sadness,negative
4,6846,61.58967486958457,111.15499496459961,1.5213418006896973,32.764484167099,76.8571662902832,0.32787010073661804,0.9852000000000001,0.8051045454545456,sadness,negative
5,7935,111.3929790531357,71.23429203033447,2.4715583324432373,19.022854566574097,49.73487734794617,0.09198778867721558,0.96736,0.9999,sadness,negative
6,3623,103.22885285180006,35.096776723861694,1.1527719497680664,18.774678707122803,15.166329622268677,0.32787010073661804,0.9852000000000001,0.9999,sadness,negative
7,6396,80.69381355884586,79.26258182525635,2.3537323474884033,18.895483016967773,58.008851766586304,0.09198778867721558,0.9703333333333333,0.9999,sadness,negative
8,6819,77.81915785635957,87.62623739242554,2.402552843093872,15.959978818893433,69.25670599937439,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
9,7791,74.62615994490378,104.40038728713989,2.178048849105835,23.966938018798828,78.24739861488342,0.32787010073661804,0.9726473684210527,0.7292368421052632,sadness,negative
10,4951,88.15853198912241,56.16019105911255,1.4047062397003174,23.57498002052307,31.175469398498535,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
11,3878,92.19074758736627,42.064958810806274,1.4104087352752686,15.434244632720947,25.215306043624878,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
12,5983,97.38723297570846,61.43515753746033,1.6553733348846436,12.30827260017395,47.46551012992859,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
13,8621,87.2560764730819,98.80114197731018,2.3845314979553223,19.237032413482666,77.17158079147339,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
14,6874,89.56358135017292,76.74994564056396,2.180778980255127,19.767370223999023,54.79679584503174,0.32787010073661804,0.9852000000000001,0.9999,sadness,negative
15,10979,118.46375489179846,92.67813611030579,2.740229845046997,18.193902730941772,71.7370011806488,0.25840532779693604,0.9852000000000001,0.9999,sadness,negative
16,4938,93.33713309370575,52.90498900413513,1.5213391780853271,16.431262493133545,34.94539713859558,0.25840532779693604,0.9814833333333333,0.9999,sadness,negative
17,8099,93.99330092656884,86.16571521759033,2.8995487689971924,16.168580770492554,67.08958411216736,0.25840532779693604,0.9729709677419356,0.8876607142857144,sadness,negative
19,14814,93.05952152494108,159.18843936920166,4.4190003871917725,22.655736923217773,132.1027045249939,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
20,8566,124.63348461784503,68.72952342033386,2.524569034576416,26.844009160995483,39.3539457321167,0.25840532779693604,0.9852000000000001,0.9999,sadness,negative
21,5941,90.82469270985607,65.41172695159912,1.9204318523406982,26.66396951675415,36.82232666015625,0.23351359367370605,0.763,0.9999,sadness,negative
22,2436,67.5790897373191,36.046653032302856,1.0142292976379395,22.72288727760315,12.306536674499512,0.09198778867721558,0.968475,0.9999,sadness,negative
23,6743,113.24379192530954,59.544102907180786,1.7574307918548584,16.843732833862305,40.936946392059326,0.09198778867721558,0.7447545454545454,0.9999,sadness,negative
24,5807,104.66885719455364,55.4797306060791,1.519178867340088,16.87290096282959,37.08364677429199,0.32787010073661804,0.96513,0.757055,sadness,negative
25,6990,130.99549401666732,53.36061406135559,1.8523988723754883,21.661977767944336,29.839142084121704,0.09198778867721558,0.9740500000000001,0.9999,sadness,negative
26,10495,92.33889333094426,113.6574158668518,3.506629705429077,21.482168912887573,88.66161704063416,0.25840532779693604,0.9852000000000001,0.9999,sadness,negative
27,5681,108.03076066313521,52.58687400817871,1.5869946479797363,15.4289231300354,35.56595230102539,0.09198778867721558,0.968475,0.9999,sadness,negative
28,3597,107.06154236145724,33.597498416900635,1.0452322959899902,16.853229999542236,15.696038246154785,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
29,7286,114.7540888550114,63.49229097366333,2.202496290206909,17.170822381973267,44.11397457122803,0.18831251561641693,0.9703333333333333,0.9999,sadness,negative
