chapter,token_count,tokens_per_second,total_time,spacy_time,emotion_time,location_time,loc_confidence,loc_score,char_score,dominant_emotion,dominant_sentiment
1,1925,55.66466812488984,34.58207988739014,0.3487067222595215,20.441848278045654,13.791524887084961,0,0,0.9999,sadness,negative
2,2865,45.01283725884389,63.64850950241089,0.7135803699493408,27.610711336135864,35.31921648979187,0.11604081094264984,0.9898125000000001,0.9999,sadness,negative
3,2139,53.49460689048117,39.98533916473389,0.5695488452911377,27.518688678741455,11.891100883483887,0.11604081094264984,0.7704,0.9999,sadness,negative
4,2462,50.351565050346245,48.896196126937866,0.6405656337738037,25.570250749588013,22.680379629135132,0.11604081094264984,0.7704,0.9999,joy,negative
5,2722,62.41477847659608,43.6114661693573,0.7444853782653809,23.192681074142456,19.668298482894897,0.11604081094264984,0.98368,0.9999,sadness,negative
6,2331,51.2228982134698,45.50699162483215,0.6281435489654541,10.975716590881348,33.8991334438324,0.10352206230163574,0.7447545454545454,0.9999,joy,negative
7,3259,81.44575961566609,40.014360666275024,0.917203426361084,16.408544063568115,22.687613248825073,0,0,0.8508391304347827,joy,positive
8,3135,90.38929604950967,34.68331027030945,1.008228063583374,14.157179832458496,19.51490020751953,0.11604081094264984,0.76594,0.9999,sadness,negative
9,2634,89.33312056220483,29.48514485359192,1.009225606918335,14.595279216766357,13.878641605377197,0.10352206230163574,0.9852000000000001,0.9999,sadness,negative
10,3138,72.89288193996,43.04947090148926,0.9882223606109619,11.897171258926392,30.161076307296753,0.10352206230163574,0.7629666666666667,0.9999,joy,negative
11,2873,82.1508252461857,34.972259759902954,0.7721786499023438,21.07184147834778,13.12623906135559,0,0,0.9999,sadness,negative
12,2727,75.6082228249812,36.06750559806824,0.6901521682739258,19.629522800445557,15.74483036994934,0.11604081094264984,0.7544714285714286,0.9999,sadness,negative
13,3003,70.96321372673343,42.317700147628784,0.9762134552001953,19.549505472183228,21.78809404373169,0.10352206230163574,0.9852000000000001,0.9999,sadness,negative
14,2816,78.47399341259252,35.8844997882843,0.8791961669921875,19.969600677490234,15.03470230102539,0,0,0.9999,sadness,negative
15,2896,108.53926033058967,26.681589603424072,0.8221850395202637,16.222913026809692,9.633631467819214,0.11604081094264984,0.7704,0.9999,sadness,negative
16,2820,118.78355554067015,23.740659952163696,0.8801975250244141,14.51902723312378,8.338432312011719,0.11604081094264984,0.7629666666666667,0.9999,joy,negative
17,2905,120.51795273369487,24.104292631149292,1.046830415725708,14.572442054748535,8.482020139694214,0.10352206230163574,0.9724571428571429,0.9999,joy,negative
